Fisheries Notice,Sector,Date(s),Target Species,Gear,Area/Type,Days Open,Quota,Notes
FN0741,Recreational,Aug 1-Sept 15,Sockeye,Angling,Region 6,45,,"Daily limit increased to 2 sockeye per day in the following waters: Aug 1-Sept 15 Babine Lake excluding tributaries; Aug 1-14 Fulton River, Aug 1-14 Pinkut Creek; Aug 1-31 Babine River; Aug 1-Sept 15 Skeena mainstem upstream of CNR bridge; Aug 1-Sept 15 Skeena mainstem downstream of CNR bridge"
FN0472,Aboriginal,Aug 1-3,Pink,Seine,Area 3 - Demonstration,3,,"Retention of sockeye permitted, non-retention chum, coho, chinook and steelhead"
FN0743,Commercial,Aug 3-4,Sockeye,Gillnet,"Area C, Area 4",2,,Sockeye and pink retention
FN0747,Aboriginal,Aug 1-7,Sockeye,Selective gear methods,Region 6,7,,CSAF demo fishery opportunity for Gitksan Nation. Retention of sockeye only
FN0755,Aboriginal,Aug 2-8,Sockeye,Selective gear methods,Region 6,7,,CSAF demonstration fishery opportunity for the Gitanyow at Lax An Zok (Meziadin River)
FN0756,Commercial,Aug 4-7,Sockeye,Seine,"Area A, Area 4",4,19800,"ITQ opening, pink retention allowed, non-retention of coho, Chinook, chum and steelhead"
FN0758,Aboriginal,"Aug 5, 0011",Sockeye,Selective gear methods,Region 6,7,,"CSAF demonstration fishery opportunity for Kitsumkalum First Nation. Non-retention of coho, chum, Chinook and steelhead. Type B dual fishing allowed."
FN0763,Aboriginal,Aug 6-7,Sockeye,Gillnet,Area 4,2,,"Lax Kw’alaams and Metlakatla demo fishery opportunity, dual fishing, pink retention permitted"
FN0764,Aboriginal,Aug 6-12,Pink,Selective gear methods,Region 6,7,,Pink salmon ESSR fishery in the Witset Canyon on the Bulkley River
FN0769,Aboriginal,Aug 7-13,Sockeye,Selective gear methods,Region 6,7,,CSAF demonstration fishery opportunity for Kitselas First Nation. Sockeye retention only
FN0772,Commercial,Aug 8,Sockeye,Gillnet,"Area C, Area 4",1,,Sockeye and pink retention
FN0777,Aboriginal,Aug 8-14,Sockeye,Selective gear methods,Region 6,7,,CSAF demonstration fishery for the Gitksan targetting sockeye.
FN0873,Aboriginal,Aug 9-15,Sockeye,Selective gear methods,Region 6,7,,CSAF demonstration fishery opportunity for the Gitanyow at Lax An Zok (Meziadin River)
FN0815,Aboriginal,Aug 15-21,Sockeye,Selective gear methods,Region 6,7,,CSAF demo fishery opportunity for Gitksan Nation. Retention of sockeye only
FN0808,Recreational,Aug 1-Sept 15,Sockeye,Angling,Region 6,45,,Amendment to FN0741 - correction of closed area description 
FN0793,Aboriginal,Aug 13-19,Pink,Selective gear methods,Region 6,7,,"Office of the Wet’suwet’en ESSR fishery opportunity at Witset Canyon, retention of pink only"
